individual,gender,mode,decision,dwell_time,incentive,congestion,alt,choice_id
118.0,2.0,MRT,1.0,45.0,7.0,0.0,stay,175
118.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,175
118.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,176
118.0,2.0,MRT,0.0,45.0,3.0,0.0,stay,176
118.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,177
118.0,2.0,MRT,0.0,60.0,7.0,0.0,stay,177
119.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,178
119.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,178
121.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,179
121.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,179
122.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,180
122.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,180
124.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,181
124.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,181
125.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,182
125.0,2.0,MRT,0.0,30.0,0.0,0.0,stay,182
125.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,183
125.0,2.0,MRT,0.0,30.0,3.0,0.0,stay,183
125.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,184
125.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,184
125.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,185
125.0,2.0,MRT,0.0,45.0,7.0,0.0,stay,185
127.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,186
127.0,2.0,MRT,0.0,15.0,0.0,0.0,stay,186
127.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,187
127.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,187
127.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,188
127.0,2.0,MRT,0.0,30.0,3.0,0.0,stay,188
127.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,189
127.0,2.0,MRT,0.0,45.0,7.0,0.0,stay,189
129.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,190
129.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,190
133.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,191
133.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,191
140.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,192
140.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,192
141.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,193
141.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,193
144.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,194
144.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,194
145.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,195
145.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,195
147.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,196
147.0,1.0,MRT,0.0,30.0,0.0,0.0,stay,196
147.0,1.0,MRT,1.0,30.0,3.0,0.0,stay,197
147.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,197
147.0,1.0,MRT,1.0,30.0,7.0,0.0,stay,198
147.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,198
147.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,199
147.0,1.0,MRT,0.0,45.0,3.0,0.0,stay,199
147.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,200
147.0,1.0,MRT,0.0,45.0,7.0,0.0,stay,200
152.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,201
152.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,201
156.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,202
156.0,1.0,MRT,0.0,30.0,0.0,0.0,stay,202
156.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,203
156.0,1.0,MRT,0.0,30.0,3.0,0.0,stay,203
156.0,1.0,MRT,1.0,30.0,7.0,0.0,stay,204
156.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,204
156.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,205
156.0,1.0,MRT,0.0,45.0,7.0,0.0,stay,205
158.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,206
158.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,206
160.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,207
160.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,207
167.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,208
167.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,208
